estado,marcas,nome_da_revenda,pontas,price,manufacturer,group,ano,regiao
GO,TeeJet;,SPRAYERCOM,AIXR-VK,54.7,TEEJET,5,2021,Centro-Oeste
GO,TeeJet;,SPRAYERCOM,TTI,67.33,TEEJET,6,2021,Centro-Oeste
MG,TeeJet;,MAQNELSON,TT-VP,24.75,TEEJET,3,2021,Sudeste
MG,TeeJet;,MAQNELSON,TTI,48.15,TEEJET,6,2021,Sudeste
MG,TeeJet;,MAQNELSON,TTJ60,29.38,TEEJET,4,2021,Sudeste
GO,Magnojet;,A CAMARGO,MAG,13.31,MAGNOJET,1,2021,Centro-Oeste
GO,Magnojet;,A CAMARGO,MGA,30.04,MAGNOJET,1,2021,Centro-Oeste
GO,Magnojet;,A CAMARGO,ST,25.83,MAGNOJET,3,2021,Centro-Oeste
GO,Magnojet;,A CAMARGO,AD-IA,34.16,MAGNOJET,5,2021,Centro-Oeste
GO,TeeJet;,MAQNELSON,TTJ60,29.38,TEEJET,4,2021,Centro-Oeste
GO,TeeJet;,MAQNELSON,TTI,48.15,TEEJET,6,2021,Centro-Oeste
MG,TeeJet;,MAQNELSON,TTJ60,29.35,TEEJET,4,2021,Sudeste
MG,TeeJet;,DUSIQUEIRA,AIXR-VK,43,TEEJET,5,2021,Sudeste
MG,TeeJet;,MINAS VERDE,TTJ60,29.38,TEEJET,4,2021,Sudeste
MG,TeeJet;,MINAS VERDE,TTI,48.15,TEEJET,6,2021,Sudeste
MG,TeeJet;,TREVISO,TT-VP,24.75,TEEJET,3,2021,Sudeste
MG,TeeJet;,TREVISO,TTI,48.2,TEEJET,6,2021,Sudeste
GO,TeeJet;,CASA DO PICA PAU,TT-VP,24.6,TEEJET,3,2021,Centro-Oeste
GO,TeeJet;,CASA DO PICA PAU,TTJ60,29.5,TEEJET,4,2021,Centro-Oeste
GO,TeeJet;,MAQNELSON,TTJ60,29.3,TEEJET,4,2021,Centro-Oeste
GO,TeeJet;,MAQNELSON,TTI,48.2,TEEJET,6,2021,Centro-Oeste
PR,TeeJet;,TESTE,TXA,20.01,TEEJET,1,2022,Sul
PR,TeeJet;,TESTE,XR-VK,18.01,TEEJET,2,2022,Sul
PR,TeeJet;,TESTE,TT-VP,20.01,TEEJET,3,2022,Sul
PR,TeeJet;,TESTE,TTJ60,22.01,TEEJET,4,2022,Sul
PR,TeeJet;,TESTE,AIXR-VK,40,TEEJET,5,2022,Sul
PR,TeeJet;,TESTE,TTI,49.5,TEEJET,6,2022,Sul
PR,TeeJet;,TESTE,BD,16,MAGNOJET,2,2022,Sul
PR,TeeJet;,TESTE,MAG,11.5,MAGNOJET,1,2022,Sul
PR,TeeJet;,TESTE,MGA,24.01,MAGNOJET,1,2022,Sul
PR,TeeJet;,TESTE,ST,26.51,MAGNOJET,3,2022,Sul
