"";"estado";"marcas";"nome_da_revenda";"pontas";"price";"manufacturer";"group";"ano";"regiao"
"331";"MS";"TeeJet;";"COMO";"TXA";20,01;"TEEJET";"1";"2022";"Centro-Oeste"
"332";"MS";"TeeJet;";"COMO";"XR-VK";20,01;"TEEJET";"2";"2022";"Centro-Oeste"
"333";"MS";"TeeJet;";"COMO";"TT-VP";23;"TEEJET";"3";"2022";"Centro-Oeste"
"334";"MS";"TeeJet;";"COMO";"TTJ60";24,01;"TEEJET";"4";"2022";"Centro-Oeste"
"335";"MS";"TeeJet;";"COMO";"AIXR-VK";36;"TEEJET";"5";"2022";"Centro-Oeste"
"336";"MS";"TeeJet;";"COMO";"TTI";60;"TEEJET";"6";"2022";"Centro-Oeste"
"337";"GO";"TeeJet;";"ALESSANDRO";"BD";16;"MAGNOJET";"2";"2022";"Centro-Oeste"
"338";"GO";"Magnojet;Jacto;";"CASEMAQ";"ST";26,51;"MAGNOJET";"3";"2022";"Centro-Oeste"
"339";"Online";NA;"CANAL AGRICOLA";"TXA";23,24;"TEEJET";"1";"2021";"Online"
"340";"Online";NA;"CANAL AGRICOLA";"TXA";34,46;"TEEJET";"1";"2022";"Online"
"341";"Online";NA;"HERBICAT";"TXA";22,23;"TEEJET";"1";"2022";"Online"
"342";"Online";NA;"CANAL AGRICOLA";"XR-VK";42,24;"TEEJET";"2";"2021";"Online"
"343";"Online";NA;"CANAL AGRICOLA";"XR-VK";27,18;"TEEJET";"2";"2022";"Online"
"344";"Online";NA;"HERBICAT";"XR-VK";47,56;"TEEJET";"2";"2022";"Online"
"345";"Online";NA;"CANAL AGRICOLA";"TT-VP";21,47;"TEEJET";"3";"2021";"Online"
"346";"Online";NA;"CANAL AGRICOLA";"TT-VP";32,15;"TEEJET";"3";"2022";"Online"
"347";"Online";NA;"HERBICAT";"TT-VP";20,72;"TEEJET";"3";"2022";"Online"
"348";"Online";NA;"CANAL AGRICOLA";"TTJ60";20,36;"TEEJET";"4";"2021";"Online"
"349";"Online";NA;"CANAL AGRICOLA";"TTJ60";41,17;"TEEJET";"4";"2022";"Online"
"350";"Online";NA;"HERBICAT";"TTJ60";24,86;"TEEJET";"4";"2022";"Online"
"351";"Online";NA;"CANAL AGRICOLA";"AIXR-VK";61,75;"TEEJET";"5";"2021";"Online"
"352";"Online";NA;"CANAL AGRICOLA";"TTI";76,54;"TEEJET";"6";"2021";"Online"
"353";"Online";NA;"CANAL AGRICOLA";"TTI";59,78;"TEEJET";"6";"2022";"Online"
"354";"Online";NA;"HERBICAT";"TTI";44,68;"TEEJET";"6";"2022";"Online"
"355";"Online";NA;"CANAL AGRICOLA";"BD";10,27;"MAGNOJET";"2";"2021";"Online"
"356";"Online";NA;"CANAL AGRICOLA";"BD";11,48;"MAGNOJET";"2";"2022";"Online"
"357";"Online";NA;"DRS PULVERIZADORES";"BD";9,96;"MAGNOJET";"2";"2022";"Online"
"358";"Online";NA;"CANAL AGRICOLA";"MGA";19,32;"MAGNOJET";"1";"2021";"Online"
"359";"Online";NA;"CANAL AGRICOLA";"MGA";24,83;"MAGNOJET";"1";"2022";"Online"
"360";"Online";NA;"DRS PULVERIZADORES";"MGA";21,54;"MAGNOJET";"1";"2022";"Online"
"361";"Online";NA;"CANAL AGRICOLA";"MAG";9,42;"MAGNOJET";"1";"2021";"Online"
"362";"Online";NA;"CANAL AGRICOLA";"MAG";11;"MAGNOJET";"1";"2022";"Online"
"363";"Online";NA;"DRS PULVERIZADORES";"MAG";9,58;"MAGNOJET";"1";"2022";"Online"
"364";"Online";NA;"CANAL AGRICOLA";"ST";21,06;"MAGNOJET";"3";"2021";"Online"
"365";"Online";NA;"CANAL AGRICOLA";"ST";27,08;"MAGNOJET";"3";"2022";"Online"
"366";"Online";NA;"DRS PULVERIZADORES";"ST";27,8;"MAGNOJET";"3";"2022";"Online"
"367";"Online";NA;"CANAL AGRICOLA";"ST-D";27,9;"MAGNOJET";"4";"2021";"Online"
"368";"Online";NA;"CANAL AGRICOLA";"ST-D";35,86;"MAGNOJET";"4";"2022";"Online"
"369";"Online";NA;"DRS PULVERIZADORES";"ST-D";29,1;"MAGNOJET";"4";"2022";"Online"
"370";"Online";NA;"CANAL AGRICOLA";"AD-IA";31,7;"MAGNOJET";"5";"2021";"Online"
"371";"Online";NA;"CANAL AGRICOLA";"AD-IA";37,06;"MAGNOJET";"5";"2022";"Online"
"372";"Online";NA;"DRS PULVERIZADORES";"AD-IA";32,2;"MAGNOJET";"5";"2022";"Online"
"373";"Online";NA;"CANAL AGRICOLA";"STIA";44,84;"MAGNOJET";"8";"2022";"Online"
"374";"Online";NA;"DRS PULVERIZADORES";"STIA";38,87;"MAGNOJET";"8";"2022";"Online"
"375";"Online";NA;"CANAL AGRICOLA";"MUG";78,06;"MAGNOJET";"6";"2022";"Online"
"376";"Online";NA;"DRS PULVERIZADORES";"MUG";55,5;"MAGNOJET";"6";"2022";"Online"
